timestamp_local,temperature_C,city,lat,lon
2025-07-01 00:00:00,23.06,Lublin,51.2465,22.5684
2025-07-01 02:00:00,21.16,Lublin,51.2465,22.5684
2025-07-01 04:00:00,17.4,Lublin,51.2465,22.5684
2025-07-01 06:00:00,14.58,Lublin,51.2465,22.5684
2025-07-01 08:00:00,13.91,Lublin,51.2465,22.5684
2025-07-01 10:00:00,11.85,Lublin,51.2465,22.5684
2025-07-01 12:00:00,14.23,Lublin,51.2465,22.5684
2025-07-01 14:00:00,17.1,Lublin,51.2465,22.5684
2025-07-01 16:00:00,19.83,Lublin,51.2465,22.5684
2025-07-01 18:00:00,23.12,Lublin,51.2465,22.5684
2025-07-01 20:00:00,25.21,Lublin,51.2465,22.5684
2025-07-01 22:00:00,24.79,Lublin,51.2465,22.5684
2025-07-02 00:00:00,23.72,Lublin,51.2465,22.5684
2025-07-02 02:00:00,20.94,Lublin,51.2465,22.5684
2025-07-02 04:00:00,17.63,Lublin,51.2465,22.5684
2025-07-02 06:00:00,14.33,Lublin,51.2465,22.5684
2025-07-02 08:00:00,14.53,Lublin,51.2465,22.5684
2025-07-02 10:00:00,14.22,Lublin,51.2465,22.5684
2025-07-02 12:00:00,15.69,Lublin,51.2465,22.5684
2025-07-02 14:00:00,18.97,Lublin,51.2465,22.5684
2025-07-02 16:00:00,19.58,Lublin,51.2465,22.5684
2025-07-02 18:00:00,23.53,Lublin,51.2465,22.5684
2025-07-02 20:00:00,26.7,Lublin,51.2465,22.5684
2025-07-02 22:00:00,25.64,Lublin,51.2465,22.5684
2025-07-03 00:00:00,23.34,Lublin,51.2465,22.5684
2025-07-03 02:00:00,21.86,Lublin,51.2465,22.5684
2025-07-03 04:00:00,18.23,Lublin,51.2465,22.5684
2025-07-03 06:00:00,14.79,Lublin,51.2465,22.5684
2025-07-03 08:00:00,12.66,Lublin,51.2465,22.5684
2025-07-03 10:00:00,13.14,Lublin,51.2465,22.5684
2025-07-03 12:00:00,,Lublin,51.2465,22.5684
2025-07-03 14:00:00,16.96,Lublin,51.2465,22.5684
2025-07-03 16:00:00,20.96,Lublin,51.2465,22.5684
2025-07-03 18:00:00,24.59,Lublin,51.2465,22.5684
2025-07-03 20:00:00,25.69,Lublin,51.2465,22.5684
2025-07-03 22:00:00,24.46,Lublin,51.2465,22.5684
2025-07-04 00:00:00,23.61,Lublin,51.2465,22.5684
2025-07-04 02:00:00,20.4,Lublin,51.2465,22.5684
2025-07-04 04:00:00,18.07,Lublin,51.2465,22.5684
2025-07-04 06:00:00,15.18,Lublin,51.2465,22.5684
2025-07-04 08:00:00,13.73,Lublin,51.2465,22.5684
2025-07-04 10:00:00,14.18,Lublin,51.2465,22.5684
2025-07-04 12:00:00,14.97,Lublin,51.2465,22.5684
2025-07-04 14:00:00,18.43,Lublin,51.2465,22.5684
2025-07-04 16:00:00,21.14,Lublin,51.2465,22.5684
2025-07-04 18:00:00,23.73,Lublin,51.2465,22.5684
2025-07-04 20:00:00,26.85,Lublin,51.2465,22.5684
2025-07-04 22:00:00,24.75,Lublin,51.2465,22.5684
2025-07-05 00:00:00,22.02,Lublin,51.2465,22.5684
2025-07-05 02:00:00,20.12,Lublin,51.2465,22.5684
2025-07-05 04:00:00,17.02,Lublin,51.2465,22.5684
2025-07-05 06:00:00,13.96,Lublin,51.2465,22.5684
2025-07-05 08:00:00,13.63,Lublin,51.2465,22.5684
2025-07-05 10:00:00,13.53,Lublin,51.2465,22.5684
2025-07-05 12:00:00,16.09,Lublin,51.2465,22.5684
2025-07-05 14:00:00,17.89,Lublin,51.2465,22.5684
2025-07-05 16:00:00,22.03,Lublin,51.2465,22.5684
2025-07-05 18:00:00,23.48,Lublin,51.2465,22.5684
2025-07-05 20:00:00,25.52,Lublin,51.2465,22.5684
2025-07-05 22:00:00,27.5,Lublin,51.2465,22.5684
